"","DT","HMS","SYMBOL","PRICE","SIZE","BID","OFR","VP","mkt_cap","cum_size","SPREAD","MONEY"
"1",2021-01-25 09:00:00.0288,"09:00:00","KR280940",7020,1,7020,7070,0,35,1,50,7020
"2",2021-01-25 09:00:00.1407,"09:00:00","KR223190",10880,1,10880,11080,0,305,1,200,10880
"3",2021-01-25 09:00:00.1407,"09:00:00","KR304770",14950,1,14850,14950,500,377,1,100,14950
"4",2021-01-25 09:00:00.2239,"09:00:00","KR332930",50905,1,50630,50905,500,1756,1,275,50905
"5",2021-01-25 09:00:00.2335,"09:00:00","KR299030",129500,711,129500,129800,0,4873,721,300,92074500
"6",2021-01-25 09:00:00.2367,"09:00:00","KR299030",129500,3,129500,129800,0,4873,724,300,388500
"7",2021-01-25 09:00:00.3136,"09:00:00","KR063080",39150,26,39150,39200,0,2582,967,50,1017900
"8",2021-01-25 09:00:00.3136,"09:00:00","KR063080",39150,938,39150,39200,0,2582,941,50,36722700
"9",2021-01-25 09:00:00.3168,"09:00:00","KR001740",5620,139,5620,5630,3.93,13948,31190,10,781180
"10",2021-01-25 09:00:00.3168,"09:00:00","KR001740",5630,28543,5620,5630,4.15,13973,31051,10,160697090
"11",2021-01-25 09:00:00.3199,"09:00:00","KR044380",1045,15470,1045,1050,0,571,15471,5,16166150
"12",2021-01-25 09:00:00.3296,"09:00:00","KR008060",7250,2542,7250,7260,500,2457,3418,10,18429500
"13",2021-01-25 09:00:00.3327,"09:00:00","KR012340",4565,33946,4565,4570,500,1372,40695,5,154963490
"14",2021-01-25 09:00:00.3327,"09:00:00","KR012340",4575,10,4565,4570,500,1375,40715,5,45750
"15",2021-01-25 09:00:00.3327,"09:00:00","KR012340",4580,10,4565,4570,500,1376,40725,5,45800
"16",2021-01-25 09:00:00.3327,"09:00:00","KR012340",4570,10,4565,4570,500,1373,40705,5,45700
"17",2021-01-25 09:00:00.3359,"09:00:00","KR012340",4590,219,4565,4570,500,1379,40954,5,1005210
"18",2021-01-25 09:00:00.3359,"09:00:00","KR012340",4600,231,4565,4600,500,1382,41195,35,1062600
"19",2021-01-25 09:00:00.3359,"09:00:00","KR012340",4585,10,4565,4570,500,1378,40735,5,45850
"20",2021-01-25 09:00:00.3359,"09:00:00","KR012340",4595,10,4565,4570,500,1381,40964,5,45950
"21",2021-01-25 09:00:00.3392,"09:00:00","KR063080",39200,10,39150,39200,34.48,2585,977,50,392000
"22",2021-01-25 09:00:00.3487,"09:00:00","KR006260",75500,2968,75500,75600,65.85,24311,3648,100,224084000
"23",2021-01-25 09:00:00.3519,"09:00:00","KR006260",75500,1,75500,75600,64.59,24311,3656,100,75500
"24",2021-01-25 09:00:00.3519,"09:00:00","KR006260",75500,7,75500,75600,64.75,24311,3655,100,528500
"25",2021-01-25 09:00:00.3519,"09:00:00","KR001740",5630,80,5620,5630,7.11,13973,31271,10,450400
"26",2021-01-25 09:00:00.3519,"09:00:00","KR006260",75500,1,75500,75600,64.44,24311,3657,100,75500
"27",2021-01-25 09:00:00.3519,"09:00:00","KR001740",5630,1,5620,5630,3.97,13973,31191,10,5630
"28",2021-01-25 09:00:00.3552,"09:00:00","KR008060",7260,1,7250,7260,500,2460,3419,10,7260
"29",2021-01-25 09:00:00.3552,"09:00:00","KR012340",4565,202,4565,4600,500,1372,41397,35,922130
"30",2021-01-25 09:00:00.3552,"09:00:00","KR102260",4935,2001,4905,4935,0,2171,2001,30,9874935
"31",2021-01-25 09:00:00.3552,"09:00:00","KR279540",12775,1,12775,12870,0,153,1,95,12775
"32",2021-01-25 09:00:00.4288,"09:00:00","KR006260",75500,1,75500,75600,64.29,24311,3658,100,75500
"33",2021-01-25 09:00:00.4384,"09:00:00","KR006260",75500,1,75500,75600,64.13,24311,3659,100,75500
"34",2021-01-25 09:00:00.4447,"09:00:00","KR006260",75500,1,75500,75600,63.98,24311,3660,100,75500
"35",2021-01-25 09:00:00.4479,"09:00:00","KR099320",64800,13439,64700,64800,0.17,4710,14646,100,870847200
"36",2021-01-25 09:00:00.4479,"09:00:00","KR099320",64600,53,64600,64800,0.16,4695,14715,200,3423800
"37",2021-01-25 09:00:00.4479,"09:00:00","KR099320",64700,16,64700,64800,0.16,4703,14662,100,1035200
"38",2021-01-25 09:00:00.4544,"09:00:00","KR012340",4565,74,4565,4600,500,1372,41471,35,337810
"39",2021-01-25 09:00:00.4544,"09:00:00","KR012340",4560,126,4560,4600,500,1370,41597,40,574560
"40",2021-01-25 09:00:00.5088,"09:00:00","KR308170",32500,2520,32500,32550,0,2798,2520,50,81900000
"41",2021-01-25 09:00:00.5088,"09:00:00","KR006260",75500,1,75500,75600,63.83,24311,3661,100,75500
"42",2021-01-25 09:00:00.5120,"09:00:00","KR102260",4905,5,4905,4935,0,2158,2006,30,24525
"43",2021-01-25 09:00:00.5151,"09:00:00","KR099320",64800,1,64600,64800,0.24,4710,14716,200,64800
"44",2021-01-25 09:00:00.5151,"09:00:00","KR006260",75500,1,75500,75600,63.68,24311,3662,100,75500
"45",2021-01-25 09:00:00.5183,"09:00:00","KR118990",7840,11348,7840,7850,500,3058,14386,10,88968320
"46",2021-01-25 09:00:00.5183,"09:00:00","KR081150",3655,47796,3655,3660,0,887,47827,5,174694380
"47",2021-01-25 09:00:00.5183,"09:00:00","KR006260",75500,1,75500,75600,63.53,24311,3663,100,75500
"48",2021-01-25 09:00:00.5183,"09:00:00","KR308170",32450,1,32350,32450,0,2794,2556,100,32450
"49",2021-01-25 09:00:00.5183,"09:00:00","KR308170",32500,35,32500,32550,0,2798,2555,50,1137500
"50",2021-01-25 09:00:00.5183,"09:00:00","KR081150",3660,1000,3655,3660,500,888,48827,5,3660000
"51",2021-01-25 09:00:00.5280,"09:00:00","KR099320",64800,1,64600,64800,0.31,4710,14717,200,64800
"52",2021-01-25 09:00:00.5280,"09:00:00","KR099220",3860,23394,3855,3860,0,1860,23634,5,90300840
"53",2021-01-25 09:00:00.5311,"09:00:00","KR012340",4565,3,4560,4565,500,1372,41600,5,13695
"54",2021-01-25 09:00:00.5311,"09:00:00","KR099320",64800,6,64600,64800,2.28,4710,14742,200,388800
"55",2021-01-25 09:00:00.5311,"09:00:00","KR099320",64700,19,64600,64800,1.81,4703,14736,200,1229300
"56",2021-01-25 09:00:00.5343,"09:00:00","KR012340",4560,40,4560,4565,500,1370,41640,5,182400
"57",2021-01-25 09:00:00.5343,"09:00:00","KR099320",64600,208,64500,64800,1.96,4695,14950,300,13436800
"58",2021-01-25 09:00:00.5343,"09:00:00","KR094840",9970,155,9830,9970,0,1044,185,140,1545350
"59",2021-01-25 09:00:00.5376,"09:00:00","KR081150",3660,27,3655,3660,500,888,48854,5,98820
"60",2021-01-25 09:00:00.5376,"09:00:00","KR012340",4560,60,4560,4565,500,1370,41700,5,273600
"61",2021-01-25 09:00:00.5439,"09:00:00","KR011300",995,178058,995,996,0,566,178118,1,177167710
"62",2021-01-25 09:00:00.5439,"09:00:00","KR025880",2610,18962,2610,2615,0,436,19752,5,49490820
"63",2021-01-25 09:00:00.5439,"09:00:00","KR099220",3860,263,3855,3860,109.58,1860,23897,5,1015180
"64",2021-01-25 09:00:00.5439,"09:00:00","KR011300",997,29,995,996,50,567,178148,1,28913
"65",2021-01-25 09:00:00.5439,"09:00:00","KR011300",996,1,995,996,1.67,566,178119,1,996
"66",2021-01-25 09:00:00.5439,"09:00:00","KR011300",999,73,995,996,171.67,568,178221,1,72927
"67",2021-01-25 09:00:00.5471,"09:00:00","KR008060",7260,6,7250,7260,500,2460,3425,10,43560
"68",2021-01-25 09:00:00.5471,"09:00:00","KR270810",14730,31,14725,14870,0,1806,31,145,456630
"69",2021-01-25 09:00:00.5471,"09:00:00","KR011300",1000,397,995,1000,500,569,178618,5,397000
"70",2021-01-25 09:00:00.6143,"09:00:00","KR247540",195000,1490,194800,195000,2.07,41019,2033,200,290550000
"71",2021-01-25 09:00:00.6175,"09:00:00","KR247540",194800,27,194700,194800,1.97,40977,2060,100,5259600
"72",2021-01-25 09:00:00.6175,"09:00:00","KR011300",995,100,995,996,312.5,566,178718,1,99500
"73",2021-01-25 09:00:00.6175,"09:00:00","KR086520",61600,1787,61600,61700,19.45,13608,2137,100,110079200
"74",2021-01-25 09:00:00.6208,"09:00:00","KR011300",995,56,995,996,231.48,566,178774,1,55720
"75",2021-01-25 09:00:00.6208,"09:00:00","KR011300",1000,29,995,1000,245.37,569,178804,5,29000
"76",2021-01-25 09:00:00.6208,"09:00:00","KR011300",996,1,995,996,231.94,566,178775,1,996
"77",2021-01-25 09:00:00.6208,"09:00:00","KR102260",4905,10,4905,4935,0,2158,2016,30,49050
"78",2021-01-25 09:00:00.6303,"09:00:00","KR088800",24850,6368,24850,24900,99.58,10178,8274,50,158244800
"79",2021-01-25 09:00:00.6431,"09:00:00","KR005810",36800,6676,36600,36800,0,2883,6686,200,245676800
"80",2021-01-25 09:00:00.6528,"09:00:00","KR005810",36800,50,36600,36800,500,2883,6736,200,1840000
"81",2021-01-25 09:00:00.6528,"09:00:00","KR001740",5630,530,5620,5630,27.92,13973,31801,10,2983900
"82",2021-01-25 09:00:00.6528,"09:00:00","KR144510",109000,3765,108900,109000,0,11504,3787,100,410385000
"83",2021-01-25 09:00:00.6559,"09:00:00","KR006260",75500,1,75500,75600,63.38,24311,3664,100,75500
"84",2021-01-25 09:00:00.6559,"09:00:00","KR078160",40200,57,40200,40250,0,6278,1112,50,2291400
"85",2021-01-25 09:00:00.6559,"09:00:00","KR078160",40200,1025,40200,40250,0,6278,1055,50,41205000
"86",2021-01-25 09:00:00.6656,"09:00:00","KR032190",13200,393,13200,13250,0,5056,393,50,5187600
"87",2021-01-25 09:00:00.6656,"09:00:00","KR018290",8800,4328,8800,8810,0,3006,4338,10,38086400
"88",2021-01-25 09:00:00.6656,"09:00:00","KR032190",13200,26,13150,13200,0,5056,419,50,343200
"89",2021-01-25 09:00:00.7104,"09:00:00","KR136490",14100,1245,14100,14200,500,3353,1253,100,17554500
"90",2021-01-25 09:00:00.7104,"09:00:00","KR136490",14100,68,14050,14100,11.76,3353,1321,50,958800
"91",2021-01-25 09:00:00.7104,"09:00:00","KR001740",5630,176,5620,5630,34.83,13973,31977,10,990880
"92",2021-01-25 09:00:00.7135,"09:00:00","KR099320",64800,1,64500,64800,2.02,4710,14951,300,64800
"93",2021-01-25 09:00:00.7200,"09:00:00","KR081150",3660,35,3655,3660,500,888,48989,5,128100
"94",2021-01-25 09:00:00.7200,"09:00:00","KR099220",3855,200,3855,3860,59.77,1857,24097,5,771000
"95",2021-01-25 09:00:00.7200,"09:00:00","KR081150",3660,100,3655,3660,500,888,48954,5,366000
"96",2021-01-25 09:00:00.7232,"09:00:00","KR081150",3660,1,3655,3660,500,888,48990,5,3660
"97",2021-01-25 09:00:00.7232,"09:00:00","KR081150",3660,1,3655,3660,500,888,48991,5,3660
"98",2021-01-25 09:00:00.7263,"09:00:00","KR081150",3660,1,3655,3660,500,888,48992,5,3660
"99",2021-01-25 09:00:00.7263,"09:00:00","KR099220",3860,1,3855,3860,60,1860,24098,5,3860
"100",2021-01-25 09:00:00.7263,"09:00:00","KR099320",64800,1,64500,64800,2.09,4710,14952,300,64800
